AAM,exp_activation_energy
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH3:14][CH2:15][CH2:16][CH2:17][NH2:18]>>[CH3:14][CH2:15][CH2:16][CH2:17][NH:18][C:7]1=[CH:6][CH:5]=[C:4]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:2]([O-:3])=[O:1].[ClH:8],20.22
[O:10]=[N+:9]([C:8]1=[CH:7][CH:6]=[C:5]([C:13]([N+:14]([O-:16])=[O:15])=[CH:12]1)[Cl:1])[O-:11].[CH3:2][NH:3][CH3:4]>>[CH3:2][N:3]([C:5]1=[CH:6][CH:7]=[C:8]([CH:12]=[C:13]1[N+:14]([O-:16])=[O:15])[N+:9]([O-:11])=[O:10])[CH3:4].[ClH:1],19.4
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[Cl:21])[O-:3].[S-:8][C:9]1=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]1)[Br:13]>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:16]([N+:17]([O-:19])=[O:18])=[CH:20]1)[S:8][C:9]2=[CH:10][CH:11]=[C:12]([CH:14]=[CH:15]2)[Br:13])[O-:3].[Cl-:21],20.24
[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([Cl:8])=[CH:9][CH:10]=[C:11]1[Br:1])[O-:4].[CH2:15]1[CH2:14][CH2:13][NH:12][CH2:17][CH2:16]1>>[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([Cl:8])=[CH:9][CH:10]=[C:11]1[N:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[O-:4].[BrH:1],19.86
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9])[O-:3].[CH2:16]1[CH2:15][CH2:14][NH:13][CH2:18][CH2:17]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[O-:3].[O:9]=[N:8][OH:10],25.93
[CH3:33][O:34][C:8]1=[C:9]([CH:17]=[C:18]([CH:22]=[C:23]1[S:24](=[O:25])([C:27]([F:29])([F:30])[F:28])=[O:26])[N+:19]([O-:21])=[O:20])[S:10](=[O:11])([C:13]([F:15])([F:16])[F:14])=[O:12].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:31]=[CH:32]1)[NH2:7]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:31]=[CH:32]1)[NH:7][C:8]2=[C:9]([CH:17]=[C:18]([CH:22]=[C:23]2[S:24](=[O:25])([C:27]([F:29])([F:30])[F:28])=[O:26])[N+:19]([O-:21])=[O:20])[S:10](=[O:11])([C:13]([F:15])([F:16])[F:14])=[O:12].[CH3:33][OH:34],20.6
[CH3:10][O:11][C:12]1=[N:13][C:14]([O:15][CH3:16])=[N:17][C:18]([O:7][C:6]2=[CH:5][CH:4]=[C:3]([CH:9]=[CH:8]2)[CH:2]=[O:1])=[N:26]1.[O-:19][C:20]1=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]1>>[CH3:10][O:11][C:12]1=[N:13][C:14]([O:15][CH3:16])=[N:17][C:18]([O:19][C:20]2=[CH:21][CH:22]=[CH:23][CH:24]=[CH:25]2)=[N:26]1.[O:1]=[CH:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[O-:7],20.48
[O:15]=[N+:14]([C:13]1=[CH:12][CH:11]=[C:10]([C:18]([N+:19]([O-:21])=[O:20])=[CH:17]1)[O:3][C:4]2=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]2)[O-:16].[CH3:1][O-:2]>>[CH3:1][O:2][C:10]1=[CH:11][CH:12]=[C:13]([CH:17]=[C:18]1[N+:19]([O-:21])=[O:20])[N+:14]([O-:16])=[O:15].[O-:3][C:4]1=[CH:5][CH:6]=[CH:7][CH:8]=[CH:9]1,21.72
[CH3:19][O:20][C:21]1=[N:22][C:23]([O:24][CH3:25])=[N:26][C:27]([O:15][C:14]2=[CH:13][CH:12]=[C:11]([C:17]([Cl:18])=[CH:16]2)[N+:9]([O-:10])=[O:8])=[N:28]1.[O-:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[CH3:19][O:20][C:21]1=[N:22][C:23]([O:24][CH3:25])=[N:26][C:27]([O:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)=[N:28]1.[O:8]=[N+:9]([C:11]1=[CH:12][CH:13]=[C:14]([CH:16]=[C:17]1[Cl:18])[O-:15])[O-:10],19.59
[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17][CH:18]=[C:19]1[Cl:20])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][C:12]([C:13]([F:15])([F:16])[F:14])=[CH:17][CH:18]=[C:19]1[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[ClH:20],20.9
[O:15]=[N+:14]([C:13]1=[CH:12][CH:11]=[C:10]([C:18]([N+:19]([O-:21])=[O:20])=[CH:17]1)[Cl:9])[O-:16].[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[S-:6]>>[NH2:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[S:6][C:10]2=[CH:11][CH:12]=[C:13]([CH:17]=[C:18]2[N+:19]([O-:21])=[O:20])[N+:14]([O-:16])=[O:15].[Cl-:9],18.35
[Cl:16][C:2]1=[N:3][C:4]([Cl:5])=[N:6][C:7]([NH:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)=[N:15]1.[OH-:1]>>[OH:1][C:2]1=[N:3][C:4]([Cl:5])=[N:6][C:7]([NH:8][C:9]2=[CH:10][CH:11]=[CH:12][CH:13]=[CH:14]2)=[N:15]1.[Cl-:16],17.37
[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([C:8]([F:10])([F:11])[F:9])=[CH:12][C:13]([N+:14]([O-:16])=[O:15])=[C:17]1[Cl:1])[O-:4].[NH2:18][CH2:19][C:20]1=[CH:21][CH:22]=[C:23]([CH:26]=[CH:27]1)[CH2:24][OH:25]>>[O:2]=[N+:3]([C:5]1=[CH:6][C:7]([C:8]([F:10])([F:11])[F:9])=[CH:12][C:13]([N+:14]([O-:16])=[O:15])=[C:17]1[NH:18][CH2:19][C:20]2=[CH:21][CH:22]=[C:23]([CH:26]=[CH:27]2)[CH2:24][OH:25])[O-:4].[ClH:1],20.85
[O:4]=[N+:5]([C:7]1=[CH:8][CH:9]=[C:10]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[F:3])[O-:6].[CH3:1][O-:2]>>[CH3:1][O:2][C:10]1=[CH:9][CH:8]=[C:7]([CH:15]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:5]([O-:6])=[O:4].[F-:3],16.94
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[CH3:11][S-:12]>>[CH3:11][S:12][C:7]1=[CH:6][CH:5]=[C:4]([CH:10]=[CH:9]1)[N+:2]([O-:3])=[O:1].[F-:8],20.77
[CH3:22][O:23][C:24]1=[N:25][C:26]([O:27][CH3:28])=[N:29][C:30]([O:8][C:7]2=[CH:6][CH:5]=[C:4]([C:10]([N+:11]([O-:13])=[O:12])=[CH:9]2)[N+:2]([O-:3])=[O:1])=[N:31]1.[O-:14][C:15]1=[CH:16][CH:17]=[CH:18][CH:19]=[C:20]1[Cl:21]>>[CH3:22][O:23][C:24]1=[N:25][C:26]([O:27][CH3:28])=[N:29][C:30]([O:14][C:15]2=[CH:16][CH:17]=[CH:18][CH:19]=[C:20]2[Cl:21])=[N:31]1.[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[C:10]1[N+:11]([O-:13])=[O:12])[O-:8])[O-:3],20.15
[CH3:8][O:9][C:10]1=[N:11][C:12]([O:13][CH3:14])=[N:15][C:16]([O:17][C:18]2=[CH:19][C:20]([N+:21]([O-:23])=[O:22])=[CH:24][C:25]([N+:26]([O-:28])=[O:27])=[CH:29]2)=[N:30]1.[O-:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]1>>[CH3:8][O:9][C:10]1=[N:11][C:12]([O:13][CH3:14])=[N:15][C:16]([O:1][C:2]2=[CH:3][CH:4]=[CH:5][CH:6]=[CH:7]2)=[N:30]1.[O:22]=[N+:21]([C:20]1=[CH:19][C:18]([O-:17])=[CH:29][C:25]([N+:26]([O-:28])=[O:27])=[CH:24]1)[O-:23],19.06
[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[Br:7].[CH2:10]1[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]1>>[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[N:13]2[CH2:12][CH2:11][CH2:10][CH2:15][CH2:14]2.[BrH:7],32.49
[O:10]=[N+:11]([C:13]1=[CH:14][C:15]([N+:16]([O-:18])=[O:17])=[C:19]([C:20]([C:21]([F:23])([F:24])[F:22])=[CH:25]1)[Cl:1])[O-:12].[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH2:7]>>[CH3:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH:7][C:19]2=[C:15]([CH:14]=[C:13]([CH:25]=[C:20]2[C:21]([F:23])([F:24])[F:22])[N+:11]([O-:12])=[O:10])[N+:16]([O-:18])=[O:17].[ClH:1],20.08
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[N:11]1)[N+:7]([O-:9])=[O:8].[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16][CH2:17]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([N:11]=[CH:10]1)[N:15]2[CH2:14][CH2:13][CH2:12][CH2:17][CH2:16]2)[O-:9].[CH3:1][OH:2],22.39
[CH3:10][O:11][C:12]1=[C:13]([CH:17]=[C:18]([CH:26]=[C:27]1[S:28](=[O:29])([C:31]([F:33])([F:34])[F:32])=[O:30])[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH2:7]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[NH:7][C:12]2=[C:13]([CH:17]=[C:18]([CH:26]=[C:27]2[S:28](=[O:29])([C:31]([F:33])([F:34])[F:32])=[O:30])[S:19](=[O:20])([C:22]([F:24])([F:25])[F:23])=[O:21])[N+:14]([O-:16])=[O:15].[CH3:10][OH:11],20.2
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([I:7])=[CH:8][CH:9]=[C:10]1[Br:11])[O-:3].[CH2:15]1[CH2:14][CH2:13][NH:12][CH2:17][CH2:16]1>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([I:7])=[CH:8][CH:9]=[C:10]1[N:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[O-:3].[BrH:11],19.88
[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[C:9]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[Cl:10].[NH2:16][CH2:17][C:18]1=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]1)[Cl:22]>>[N:1]#[C:2][C:3]1=[CH:4][C:5]([N+:6]([O-:8])=[O:7])=[C:9]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[NH:16][CH2:17][C:18]2=[CH:19][CH:20]=[C:21]([CH:23]=[CH:24]2)[Cl:22].[ClH:10],18.04
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N+:8]([O-:10])=[O:9])[O-:3].[CH2:13]1[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:11]=[CH:12]1)[N:16]2[CH2:15][CH2:14][CH2:13][CH2:18][CH2:17]2)[O-:3].[O:9]=[N:8][OH:10],26.36
[CH3:6][O:7][C:8]1=[C:15]([C:16]([CH3:17])=[O:18])[CH:14]=[C:10]([N+:11]([O-:13])=[O:12])[S:9]1.[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5]1>>[CH3:17][C:16]([C:15]1=[C:8]([N:4]2[CH2:3][CH2:2][CH2:1][CH2:5]2)[S:9][C:10]([N+:11]([O-:13])=[O:12])=[CH:14]1)=[O:18].[CH3:6][OH:7],16.21
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[O:8][C:11]2=[CH:12][CH:13]=[C:14]([CH:18]=[CH:19]2)[N+:15]([O-:17])=[O:16])[O-:3].[CH2:20]1[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]1>>[O:16]=[N+:15]([C:14]1=[CH:13][CH:12]=[C:11]([CH:19]=[CH:18]1)[N:23]2[CH2:22][CH2:21][CH2:20][CH2:25][CH2:24]2)[O-:17].[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[OH:8])[O-:3],26.77
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[O:13][C:14]2=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]2)[O-:3].[CH3:20][CH2:21][CH2:22][CH2:23][NH2:24]>>[CH3:20][CH2:21][CH2:22][CH2:23][NH:24][C:12]1=[C:8]([CH:7]=[CH:6][CH:5]=[C:4]1[N+:2]([O-:3])=[O:1])[N+:9]([O-:11])=[O:10].[OH:13][C:14]1=[CH:15][CH:16]=[CH:17][CH:18]=[CH:19]1,18.51
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[I:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[IH:16],29.75
[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[I:16])[O-:9].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[O:7]=[N+:8]([C:10]1=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]1)[N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[O-:9].[IH:16],29.75
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:26][C:25]2=[CH:27][CH:28]=[C:22]([CH:23]=[CH:24]2)[N+:20]([O-:21])=[O:19])=[N:18]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][C:15]([Cl:16])=[CH:17]1>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][C:15]([Cl:16])=[CH:17]2)=[N:18]1.[O:19]=[N+:20]([C:22]1=[CH:23][CH:24]=[C:25]([CH:27]=[CH:28]1)[O-:26])[O-:21],20.59
[CH3:1][N:2]([C:9]1=[N:10][C:11]([Cl:12])=[N:13][C:14]([Cl:15])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[OH-:17]>>[CH3:1][N:2]([C:9]1=[N:10][C:11]([OH:17])=[N:13][C:14]([Cl:15])=[N:16]1)[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[CH:8]2.[Cl-:12],18.26
[CH3:9][C:8]([O:7][C:6]1=[CH:5][CH:4]=[C:3]([CH:12]=[CH:11]1)[Cl:13])=[O:10].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:11]=[CH:12]1)[O:7][C:8]([CH3:9])=[O:10].[Cl-:13],32.52
[CH3:20][O:21][C:22]1=[N:23][C:24]([O:25][CH3:26])=[N:27][C:28]([O:17][C:16]2=[CH:18][CH:19]=[C:13]([CH:14]=[CH:15]2)[N+:11]([O-:12])=[O:10])=[N:29]1.[N:1]#[C:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:8]=[CH:9]1)[O-:7]>>[CH3:20][O:21][C:22]1=[N:23][C:24]([O:25][CH3:26])=[N:27][C:28]([O:7][C:6]2=[CH:8][CH:9]=[C:3]([CH:4]=[CH:5]2)[C:2]#[N:1])=[N:29]1.[O:10]=[N+:11]([C:13]1=[CH:14][CH:15]=[C:16]([CH:18]=[CH:19]1)[O-:17])[O-:12],22.22
[O:18]=[N+:17]([C:16]1=[CH:15][C:11]([N+:12]([O-:14])=[O:13])=[C:10]([C:21]([C:22]([F:24])([F:25])[F:23])=[CH:20]1)[Cl:26])[O-:19].[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH2:8])=[CH:9]1>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7]([NH:8][C:10]2=[C:11]([CH:15]=[C:16]([CH:20]=[C:21]2[C:22]([F:24])([F:25])[F:23])[N+:17]([O-:19])=[O:18])[N+:12]([O-:14])=[O:13])=[CH:9]1.[ClH:26],21.24
[CH3:9][O:10][C:11]1=[C:12]([CH:16]=[C:17]([CH:25]=[C:26]1[S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])[S:18](=[O:19])([C:21]([F:23])([F:24])[F:22])=[O:20])[N+:13]([O-:15])=[O:14].[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[NH2:6]>>[CH3:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:7]=[CH:8]1)[NH:6][C:11]2=[C:12]([CH:16]=[C:17]([CH:25]=[C:26]2[S:27](=[O:28])([C:30]([F:32])([F:33])[F:31])=[O:29])[S:18](=[O:19])([C:21]([F:23])([F:24])[F:22])=[O:20])[N+:13]([O-:15])=[O:14].[CH3:9][OH:10],19.34
[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:19][C:20]2=[CH:21][CH:22]=[C:23]([C:27]([Cl:28])=[CH:29]2)[N+:24]([O-:26])=[O:25])=[N:18]1.[O-:10][C:11]1=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]1[Cl:17]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([O:6][CH3:7])=[N:8][C:9]([O:10][C:11]2=[CH:12][CH:13]=[CH:14][CH:15]=[C:16]2[Cl:17])=[N:18]1.[O:25]=[N+:24]([C:23]1=[CH:22][CH:21]=[C:20]([CH:29]=[C:27]1[Cl:28])[O-:19])[O-:26],20.93
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:1])[O-:4].[CH3:14][CH2:15][CH2:16][CH2:17][NH2:18]>>[CH3:14][CH2:15][CH2:16][CH2:17][NH:18][C:8]1=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2].[ClH:1],21.51
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[N:11]1)[N+:7]([O-:9])=[O:8].[CH2:12]1[CH2:13][CH2:14][NH:15][CH2:16]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([N:11]=[CH:10]1)[N:15]2[CH2:14][CH2:13][CH2:12][CH2:16]2)[O-:9].[CH3:1][OH:2],23.48
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[Cl:13])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[CH:7][C:8]([N+:9]([O-:11])=[O:10])=[C:12]1[N:17]2[CH2:16][CH2:15][CH2:14][CH2:18]2)[O-:3].[ClH:13],19.14
[O:2]=[N+:3]([C:5]1=[CH:6][CH:7]=[C:8]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[F:1])[O-:4].[CH3:14][S-:15]>>[CH3:14][S:15][C:8]1=[CH:7][CH:6]=[C:5]([CH:13]=[C:9]1[N+:10]([O-:12])=[O:11])[N+:3]([O-:4])=[O:2].[F-:1],13.2
[CH3:7][O:8][C:9]([C:11]1=[C:18]([O:19][CH3:20])[S:17][C:13]([N+:14]([O-:16])=[O:15])=[CH:12]1)=[O:10].[CH2:1]1[CH2:2][CH2:3][NH:4][CH2:5][CH2:6]1>>[CH3:7][O:8][C:9]([C:11]1=[C:18]([N:4]2[CH2:3][CH2:2][CH2:1][CH2:6][CH2:5]2)[S:17][C:13]([N+:14]([O-:16])=[O:15])=[CH:12]1)=[O:10].[CH3:20][OH:19],18.12
[O:15]=[N+:16]([C:18]1=[CH:19][CH:20]=[CH:21][C:22]([O:23][C:3]2=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]2[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8])=[CH:24]1)[O-:17].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([CH:10]=[C:11]1[N+:12]([O-:14])=[O:13])[N+:7]([O-:9])=[O:8].[O:15]=[N+:16]([C:18]1=[CH:19][CH:20]=[CH:21][C:22]([O-:23])=[CH:24]1)[O-:17],20.47
[CH3:1][O:2][C:3]1=[CH:4][CH:5]=[C:6]([C:10]2=[N:11][O:12][N:13]=[C:14]12)[N+:7]([O-:9])=[O:8].[NH2:15][C:16]1=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]1>>[O:8]=[N+:7]([C:6]1=[CH:5][CH:4]=[C:3]([C:14]2=[N:13][O:12][N:11]=[C:10]12)[NH:15][C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3)[O-:9].[CH3:1][OH:2],22.7
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([C:10]([F:12])([F:13])[F:11])=[CH:14]1)[F:8])[O-:3].[CH3:15][CH2:16][CH2:17][CH2:18][NH2:19]>>[CH3:15][CH2:16][CH2:17][CH2:18][NH:19][C:7]1=[CH:6][CH:5]=[C:4]([CH:14]=[C:9]1[C:10]([F:12])([F:13])[F:11])[N+:2]([O-:3])=[O:1].[FH:8],20.75
[N:2]#[C:3][C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[Cl:1].[NH2:16][CH2:17][C:18]1=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]1>>[N:2]#[C:3][C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:11]([N+:12]([O-:14])=[O:13])=[CH:15]1)[NH:16][CH2:17][C:18]2=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]2.[ClH:1],17.84
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[F:8])[O-:3].[CH2:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:9]=[CH:10]1)[N:14]2[CH2:13][CH2:12][CH2:11][CH2:16][CH2:15]2)[O-:3].[FH:8],24.33
[F:5][C:4]1=[CH:6][C:7]([F:8])=[N:9][C:2]([F:10])=[CH:3]1.[NH3:1]>>[NH2:1][C:2]1=[CH:3][C:4]([F:5])=[CH:6][C:7]([F:8])=[N:9]1.[FH:10],26.55
[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[Cl:8])[O-:3].[CH2:14]1[CH2:15][CH2:16][NH:17][CH2:18][CH2:19]1>>[O:1]=[N+:2]([C:4]1=[CH:5][CH:6]=[C:7]([C:9]([N+:10]([O-:12])=[O:11])=[CH:13]1)[N:17]2[CH2:16][CH2:15][CH2:14][CH2:19][CH2:18]2)[O-:3].[ClH:8],17.81
[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:20]([N+:21]([O-:23])=[O:22])=[CH:24]1)[Cl:25])[O-:3].[NH2:11][CH2:12][C:13]1=[CH:14][CH:15]=[C:16]([CH:18]=[CH:19]1)[Cl:17]>>[O:1]=[N+:2]([C:4]1=[CH:5][C:6]([N+:7]([O-:9])=[O:8])=[C:10]([C:20]([N+:21]([O-:23])=[O:22])=[CH:24]1)[NH:11][CH2:12][C:13]2=[CH:14][CH:15]=[C:16]([CH:18]=[CH:19]2)[Cl:17])[O-:3].[ClH:25],15.99
[O:11]=[N+:10]([C:9]1=[CH:8][CH:7]=[C:6]([N:14]=[CH:13]1)[Cl:15])[O-:12].[CH3:1][CH2:2][CH2:3][CH2:4][NH2:5]>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6]1=[CH:7][CH:8]=[C:9]([CH:13]=[N:14]1)[N+:10]([O-:12])=[O:11].[ClH:15],20.09
[F:1][C:2]1=[N:3][C:4]([F:5])=[C:6]([C:8]([F:9])=[C:10]1[F:11])[F:7].[NH3:12]>>[NH2:12][C:8]1=[C:10]([C:2]([F:1])=[N:3][C:4]([F:5])=[C:6]1[F:7])[F:11].[FH:9],21.74
[F:6][C:5]1=[N:7][C:8]([F:9])=[C:10]([C:3]([F:12])=[N:4]1)[F:11].[CH3:1][O-:2]>>[CH3:1][O:2][C:3]1=[N:4][C:5]([F:6])=[N:7][C:8]([F:9])=[C:10]1[F:11].[F-:12],12.53
[O:10]=[N+:9]([C:8]1=[CH:7][CH:6]=[C:5]([CH:13]=[CH:12]1)[F:1])[O-:11].[N-:2]=[N+:3]=[N-:4]>>[N-:2]=[N+:3]=[N:4][C:5]1=[CH:6][CH:7]=[C:8]([CH:12]=[CH:13]1)[N+:9]([O-:11])=[O:10].[F-:1],21.77
[CH3:1][N:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:17]=[CH:18]1)[NH:8][C:9]2=[N:10][C:11]([Cl:12])=[N:13][C:14]([Cl:15])=[N:16]2)[CH3:3].[OH-:19]>>[CH3:1][N:2]([C:4]1=[CH:5][CH:6]=[C:7]([CH:17]=[CH:18]1)[NH:8][C:9]2=[N:10][C:11]([OH:19])=[N:13][C:14]([Cl:15])=[N:16]2)[CH3:3].[Cl-:12],17.86
