idx,rsmi,psmi,rinchi,pinchi,dE0,dHrxn298,rmg_family
5554,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[c:6]1[H:10])[H:7],[O:1]([C:2]1=[N:3][N+:4]([H:8])([H:9])[C-:5]=[C:6]1[H:10])[H:7],"InChI=1S/C3H4N2O/c6-3-1-2-4-5-3/h1-2H,(H2,4,5,6)","InChI=1S/C3H4N2O/c6-3-1-2-4-5-3/h1H,4H2,(H,5,6)",82.02779,63.1801,
5555,[O:1]([c:2]1[n:3][n:4]([H:8])[c:5]([H:9])[c:6]1[H:10])[H:7],[O:1]([C:2]1=[C:6]([H:10])[C:5]([H:8])([H:9])[N:4]=[N:3]1)[H:7],"InChI=1S/C3H4N2O/c6-3-1-2-4-5-3/h1-2H,(H2,4,5,6)","InChI=1S/C3H4N2O/c6-3-1-2-4-5-3/h1,6H,2H2",48.02425,24.38306,
5556,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]([O+:2]=[C-:3][C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:7])([H:8])[H:9],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c1-5-2-4-3-6-4/h4H,3H2,1H3/t4-/m0/s1",69.37728,34.39266,
5557,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]1([H:7])([H:8])[O:2][C@:3]1([C:4][C:5]([O:6][H:10])([H:11])[H:12])[H:9],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c5-2-1-4-3-6-4/h4-5H,2-3H2/t4-/m0/s1",63.99791,56.992630000000005,
5558,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]1([H:7])([H:8])[O:2][C@:4]2([H:10])[C@@:3]1([H:9])[O:6][C:5]2([H:11])[H:12],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c1-3-4(5-1)2-6-3/h3-4H,1-2H2/t3-,4-/m0/s1",68.31661,-3.57199,
5559,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1](=[O:2])([H:7])[H:8].[C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C3H4O.CH2O/c1-3-2-4-3;1-2/h1,3H,2H2;1H2/t3-;/m0./s1",72.28402,73.82458000000001,
5560,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C-:1](=[O+:2][C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)([H:7])[H:9])[H:8],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c1-5-2-4-3-6-4/h1,4H,2-3H2/t4-/m0/s1",74.42668,44.607490000000006,
5561,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]1([H:7])([H:8])[O:2][C:3]1=[C:4]([H:9])[H:10].[C:5](=[O:6])([H:11])[H:12],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1",InChI=1S/C3H4O.CH2O/c1-3-2-4-3;1-2/h1-2H2;1H2,77.48376999999999,9.276069999999999,
5562,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]([O:2][H:10])(/[C:3](=[C:4]1\[C:5]([H:11])([H:12])[O:6]1)[H:9])([H:7])[H:8],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c5-2-1-4-3-6-4/h1,5H,2-3H2/b4-1+",67.59013,-6.2685900000000006,
5563,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C-:1]([O+:2]=[C:3]([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9])([H:7])[H:8],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c1-5-2-4-3-6-4/h2,4H,1,3H2/t4-/m0/s1",53.833830000000006,43.730959999999996,
5564,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1](=[O:2])([H:7])[H:8].[C:3]1([H:9])=[C:4]([H:10])[C:5]([H:11])([H:12])[O:6]1,"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C3H4O.CH2O/c1-2-4-3-1;1-2/h1-2H,3H2;1H2",68.39817,6.4471,
5565,[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]1([H:10])[C:5]([H:11])([H:12])[O:6]1)[H:9],[C:1]1([H:7])([H:8])[O:2][C@:3]1([C@@:4]([C:5][H:12])([O:6][H:11])[H:10])[H:9],"InChI=1S/C4H6O2/c1-3(5-1)4-2-6-4/h3-4H,1-2H2/t3-,4-/m1/s1","InChI=1S/C4H6O2/c1-3(5)4-2-6-4/h1,3-5H,2H2/t3-,4-/m1/s1",67.181,63.77273,
5566,[C:1]([C:2]([O:3][C:4]([C:5]([H:13])([H:14])[H:15])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([C:2](=[O:3])[H:10])([H:6])([H:7])[H:8].[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12].[H:9][H:15],"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3","InChI=1S/C2H4O.C2H4.H2/c1-2-3;1-2;/h2H,1H3;1-2H2;1H",74.22636,33.331070000000004,
5567,[C:1]([C:2]([O:3][C:4]([C:5]([H:13])([H:14])[H:15])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[C:2]([O:3][C:4]([C:5]([H:13])([H:14])[H:15])([H:11])[H:12])[H:10])([H:7])[H:8].[H:6][H:9],"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3","InChI=1S/C4H8O.H2/c1-3-5-4-2;/h3H,1,4H2,2H3;1H",106.57771000000001,28.7767,
5568,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3](=[C:6]([H:15])[H:16])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9].[C:4](=[O:5])([H:13])[H:14],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C4H8.CH2O/c1-3-4-2;1-2/h3H,1,4H2,2H3;1H2",64.56335,5.34209,2+2_cycloaddition
5569,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C@:3]([C:4]([O:5][H:16])([H:13])[H:14])([C:6][H:15])[H:12])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C5H10O/c1-3-5(2)4-6/h2,5-6H,3-4H2,1H3/t5-/m1/s1",74.32552,71.02849,
5570,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3](=[C:4]([H:13])[H:14])[C:6]([O:5][H:12])([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C5H10O/c1-3-5(2)4-6/h6H,2-4H2,1H3",85.59716999999999,-11.45202,
5571,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[C@@:3]([C:4]([O:5][H:11])([H:13])[H:14])([H:12])[C:6]1([H:15])[H:16])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C5H10O/c1-4-2-5(4)3-6/h4-6H,2-3H2,1H3/t4-,5+/m1/s1",93.8507,-4.0688699999999995,
5572,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1](=[C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])[H:10])([H:7])[H:8].[H:9][H:11],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C5H8O.H2/c1-2-5-3-6-4-5;/h2,5H,1,3-4H2;1H",113.26137,31.37947,
5573,[C:1]([C:2]([C:3]1([H:12])[C:4]([H:13])([H:14])[O:5][C:6]1([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],[C:1]([C:2]([C:3][C:6]([O:5][C:4]([H:12])([H:13])[H:14])([H:15])[H:16])([H:10])[H:11])([H:7])([H:8])[H:9],"InChI=1S/C5H10O/c1-2-5-3-6-4-5/h5H,2-4H2,1H3","InChI=1S/C5H10O/c1-3-4-5-6-2/h3,5H2,1-2H3",82.99292,66.32298,
5574,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1](/[C:2](=[C:3](\[C:4]([H:11])([H:12])[H:13])[H:10])[H:9])([C:5](=[O:6])[H:14])([H:7])[H:8],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-2-3-4-5-6/h2-3,5H,4H2,1H3/b3-2-",61.026669999999996,-12.71509,
5575,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C@@:1]12([H:8])[C@@:2]([H:9])([C:3]([H:10])([H:11])[C:4]([H:12])=[C:5]1[H:14])[O:6]2.[H:7][H:13],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H6O.H2/c1-2-4-5(3-1)6-4;/h1-2,4-5H,3H2;1H/t4-,5+;/m0./s1",111.97478999999998,21.80775,
5576,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1](=[C:2]1[C:3]([H:10])([H:11])[C:4]([H:13])=[C:5]([H:14])[O:6]1)([H:7])[H:8].[H:9][H:12],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H6O.H2/c1-5-3-2-4-6-5;/h2,4H,1,3H2;1H",139.44142,11.7045,
5577,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]1([H:7])([H:8])[C@@:2]([O:6][H:14])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1,"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c6-5-3-1-2-4-5/h5-6H,1,3-4H2/t5-/m1/s1",70.67264,46.7417,
5578,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[O:6]1)([C:5][H:14])([H:7])[H:8],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-2-5-3-4-6-5/h1,5H,2-4H2/t5-/m0/s1",116.7682,87.26074,
5579,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]([H:8])([H:14])[O:6]1)[H:7],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-5-3-2-4-6-5/h1,5H,2-4H2/t5-/m0/s1",79.11012,61.262119999999996,
5580,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]1([H:7])([H:8])[C@:2]([C:3]([C:4]([C:5][H:14])([H:12])[H:13])([H:10])[H:11])([H:9])[O:6]1,"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-2-3-5-4-6-5/h1,5H,2-4H2/t5-/m1/s1",104.78485,81.14519,
5581,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])=[C:5]1[O:6]2.[H:13][H:14],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H6O.H2/c1-2-5-3-4(1)6-5;/h1,5H,2-3H2;1H/t5-;/m1./s1",119.2884,98.60051,
5582,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1](=[C:5]([C:4]([C:3]([C:2](=[O:6])[H:9])([H:10])[H:11])([H:12])[H:13])[H:14])([H:7])[H:8],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-2-3-4-5-6/h2,5H,1,3-4H2",52.770140000000005,-11.47907,
5583,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]([C@@:2]1([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C-:5]=[O+:6]1)([H:7])([H:8])[H:14],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-5-3-2-4-6-5/h5H,2-3H2,1H3/t5-/m0/s1",71.26433,21.72769,
5584,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C:1]([C:2](=[C:3]([H:10])[H:11])[H:9])([C:5]([C:4]([H:12])([H:13])[H:14])=[O:6])([H:7])[H:8],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-3-4-5(2)6/h3H,1,4H2,2H3",78.81497,-18.46825,
5585,[C:1]1([H:7])([H:8])[C@:2]2([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C@@:5]1([H:14])[O:6]2,[C@@:1]12([H:8])[C@@:2]([H:9])([C:3]1([H:10])[H:11])[O:6][C@:5]2([C:4]([H:7])([H:12])[H:13])[H:14],"InChI=1S/C5H8O/c1-2-5-3-4(1)6-5/h4-5H,1-3H2/t4-,5+","InChI=1S/C5H8O/c1-3-4-2-5(4)6-3/h3-5H,2H2,1H3/t3-,4+,5+/m0/s1",118.65051000000001,17.72117,
5586,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[C:5]([H:15])([H:16])[H:17])([H:6])([H:7])[H:8],[C:1]([C:3]([H:9])([H:10])[H:11])([H:6])([H:7])[H:8].[C:2]([C:4]([H:12])([H:13])[H:14])[C:5]([H:15])([H:16])[H:17],"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",InChI=1S/C3H6.C2H6/c1-3-2;1-2/h1-2H3;1-2H3,145.1609,93.10672,
5587,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[C:5]([H:15])([H:16])[H:17])([H:6])([H:7])[H:8],[C:1]([C:2](=[C:4]([H:13])[H:14])[C:5]([H:15])([H:16])[H:17])([H:6])([H:7])[H:8].[C:3]([H:9])([H:10])([H:11])[H:12],"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3","InChI=1S/C4H8.CH4/c1-4(2)3;/h1H2,2-3H3;1H4",108.96999,18.66621,
5588,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](=[C:2](/[N:3]=[C:4](/[O:5][H:8])[H:9])[H:7])\[H:6],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)",45.61059,14.056939999999999,ketoenol
5589,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N+:1](=[C-:2][N:3]([C:4](=[O:5])[H:9])[H:8])([H:6])[H:7],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-4-2-5/h2H,3H2,(H,4,5)",74.62473,23.36272,
5590,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](=[C:2](/[N+:3](=[C-:4][O:5][H:9])[H:8])[H:7])\[H:6],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-4-2-5/h1,3-5H/b3-1+",72.36142,35.234320000000004,
5591,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1]#[C:2][H:7].[N:3](=[C:4](/[O:5][H:6])[H:9])\[H:8],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/CH3NO.CHN/c2-1-3;1-2/h1H,(H2,2,3);1H",36.77476,18.76975,Retroene
5592,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1]1([H:6])[C@@:2]2([H:7])[N:3]([H:8])[C@@:4]2([H:9])[O:5]1,"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-2(3)5-4-1/h1-4H/t1-,2+/m1/s1",127.05255,92.9721,
5593,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](=[C:2](/[O:5]/[C:4](=[N:3]/[H:8])[H:9])[H:7])\[H:6],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-5-2-4/h1-4H/b3-1+,4-2+",57.005790000000005,17.82678,ketoenol
5594,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[C-:4]#[O+:5].[N:1]([C+:2]([N-:3][H:8])[H:7])([H:6])[H:9],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/CH4N2.CO/c2-1-3;1-2/h1-2H,3H2;",43.1059,8.29396,"1,2_Insertion_CO"
5595,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1]1([H:6])[C:2]([H:7])=[N:3][C:4]([H:8])([H:9])[O:5]1,"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c1-3-2-5-4-1/h1H,2H2,(H,3,4)",104.20783,51.554120000000005,
5596,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[H:7][H:8].[N:1](=[C:2]=[N:3][C:4](=[O:5])[H:9])[H:6],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)",InChI=1S/C2H2N2O.H2/c3-1-4-2-5;/h2-3H;1H,95.09063,33.51362,
5597,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](=[C:2])[H:6].[N:3]([C:4](=[O:5])[H:9])([H:7])[H:8],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/CH3NO.CHN/c2-1-3;1-2/h1H,(H2,2,3);2H",81.3011,22.440739999999998,
5598,[N:1](=[C:2](/[N:3]([C:4](=[O:5])[H:9])[H:8])[H:7])\[H:6],[N:1](/[C:2](=[N:3]/[C:4](=[O:5])[H:9])[H:7])([H:6])[H:8],"InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)","InChI=1S/C2H4N2O/c3-1-4-2-5/h1-2H,(H2,3,4,5)",42.5948,3.55061,
5599,[C:1]([c:2]1[n:3][o:4][n:5][c:6]1[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]#[N+:3][O-:4])([H:7])([H:8])[H:9].[N:5]#[C:6][H:10],"InChI=1S/C3H4N2O/c1-3-2-4-6-5-3/h2H,1H3",InChI=1S/C2H3NO.CHN/c1-2-3-4;1-2/h1H3;1H,46.392920000000004,25.26062,
5600,[C:1]([c:2]1[n:3][o:4][n:5][c:6]1[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O-:4][N+:5]#[C:6][H:10],"InChI=1S/C3H4N2O/c1-3-2-4-6-5-3/h2H,1H3",InChI=1S/C2H3N.CHNO/c2*1-2-3/h1H3;1H,46.41413,22.94105,
5601,[C:1]([c:2]1[n:3][o:4][n:5][c:6]1[H:10])([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[O:4])=[C:6]=[N:5][H:10])([H:7])([H:8])[H:9],"InChI=1S/C3H4N2O/c1-3-2-4-6-5-3/h2H,1H3","InChI=1S/C3H4N2O/c1-3(2-4)5-6/h4H,1H3",65.01034,29.95457,
5602,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C+:1](=[C:2]=[C-:3][C:6]([C:5]([C:4]([H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:7],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-3-5-6-4-2/h1H,4,6H2,2H3",71.83745,55.928509999999996,
5603,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C:1](#[C:2][C@@:3]([C:4]([C:5][H:12])([H:9])[H:10])([C:6]([H:11])([H:13])[H:14])[H:8])[H:7],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-4-6(3)5-2/h1-2,6H,4H2,3H3/t6-/m1/s1",81.24948,70.47735,
5604,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C-:1](=[C:2]([C+:3]1[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:8])[H:7],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-2-6-4-3-5-6/h1-2H,3-5H2",75.58179,54.219640000000005,
5605,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C:1](=[C:2]=[C:3]1[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])([H:7])[H:8],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,3-5H2",80.05421,0.18268,
5606,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C:1](=[C:2])([C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-2-6-4-3-5-6/h2,6H,3-5H2",60.20734,46.81071,Singlet_Carbene_Intra_Disproportionation
5607,[C:1](#[C:2][C:3]1([H:8])[C:4]([H:9])([H:10])[C:5]([H:11])([H:12])[C:6]1([H:13])[H:14])[H:7],[C:1](#[C:2][C:3]([C:4]([C:5]([H:8])([H:11])[H:12])([H:9])[H:10])=[C:6]([H:13])[H:14])[H:7],"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2","InChI=1S/C6H8/c1-4-6(3)5-2/h1H,3,5H2,2H3",120.13306000000001,-7.5159899999999995,
5608,[C:1]([C:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:7])([H:8])[H:9],[C:1]([O:3][C:2](=[O:6])[H:10])([H:7])([H:8])[H:9].[C:4](=[C:5]([H:13])[H:14])([H:11])[H:12],"InChI=1S/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3","InChI=1S/C2H4O2.C2H4/c1-4-2-3;1-2/h2H,1H3;1-2H2",98.60784,14.802029999999998,
5609,[C:1]([C:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:7])([H:8])[H:9],[C:1]([C@@:2]1([H:10])[O+:3]=[C-:4][C:5]([H:13])([H:14])[O:6]1)([H:7])([H:8])[H:9].[H:11][H:12],"InChI=1S/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3","InChI=1S/C4H6O2.H2/c1-4-5-2-3-6-4;/h4H,2H2,1H3;1H/t4-;/m1./s1",81.37425,62.23763,
5610,[C:1]([C:2]1([H:10])[O:3][C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[O:6]1)([H:7])([H:8])[H:9],[C:1]([C@@:2]([O:3][C:4](=[C:5]([H:13])[H:14])[H:11])([O:6][H:12])[H:10])([H:7])([H:8])[H:9],"InChI=1S/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3","InChI=1S/C4H8O2/c1-3-6-4(2)5/h3-5H,1H2,2H3/t4-/m1/s1",78.56151,4.12845,
